customer_id,avg_credit_limit,default_rate
C0002,12500.0000,0.5000
C0003,41666.6667,0.2500
C0004,55000.0000,0.5000
C0005,15000.0000,NULL
C0006,30000.0000,0.0000
C0007,50000.0000,0.2500
C0008,12500.0000,0.0000
C0012,50000.0000,NULL
C0014,15000.0000,0.5000
C0016,10000.0000,0.0000
C0017,47500.0000,0.1667
C0018,17500.0000,0.0000
C0019,10000.0000,NULL
C0020,15000.0000,0.7500
C0021,25000.0000,0.4000
C0022,23333.3333,0.2000
C0023,40000.0000,0.3333
C0024,22500.0000,0.3333
C0025,10000.0000,0.0000
C0027,36666.6667,0.2500
C0028,40000.0000,0.6000
C0029,45000.0000,0.5000
C0030,48333.3333,0.5000
C0031,55000.0000,0.5000
C0032,47500.0000,0.7500
C0033,31428.5714,0.4375
C0034,20000.0000,0.0000
C0035,20000.0000,0.4444
C0036,10000.0000,NULL
C0037,50000.0000,NULL
C0038,25000.0000,0.5000
C0040,15000.0000,0.5000
C0041,20000.0000,0.5000
C0042,20000.0000,0.5000
C0044,20000.0000,0.0000
C0045,30000.0000,0.5000
C0046,52500.0000,0.7500
C0047,45000.0000,0.3750
C0048,43333.3333,0.6667
C0049,65000.0000,0.0000
C0050,50000.0000,0.3333
